Folder, Filename, Result, ExitCode, Time, Memory
GFand, gfand01, Unrealizable, 0, 0.00, 0.01
GFand, gfand02, Unrealizable, 0, 0.00, 0.01
GFand, gfand03, Unrealizable, 0, 0.00, 0.01
GFand, gfand04, Unrealizable, 0, 0.00, 0.01
GFand, gfand05, Unrealizable, 0, 0.00, 0.01
GFand, gfand06, Unrealizable, 0, 0.00, 0.01
GFand, gfand07, Unrealizable, 0, 0.00, 0.01
GFand, gfand08, Unrealizable, 0, 0.00, 0.01
GFand, gfand09, Unrealizable, 0, 0.00, 0.01
GFand, gfand10, Unrealizable, 0, 0.00, 0.01
GFand, gfand11, Unrealizable, 0, 0.00, 0.01
GFand, gfand12, Unrealizable, 0, 0.00, 0.01
GFand, gfand13, Unrealizable, 0, 0.00, 0.01
GFand, gfand14, Unrealizable, 0, 0.00, 0.01
GFand, gfand15, Unrealizable, 0, 0.00, 0.01
GFand, gfand16, Unrealizable, 0, 0.00, 0.02
GFand, gfand17, Unrealizable, 0, 0.00, 0.02
GFand, gfand18, Unrealizable, 0, 0.00, 0.03
GFand, gfand19, Unrealizable, 0, 0.01, 0.05
GFand, gfand20, Unrealizable, 0, 0.02, 0.10
Uright, uright01, Unrealizable, 0, 0.00, 0.01
Uright, uright02, Realizable, 0, 0.00, 0.01
Uright, uright03, Realizable, 0, 0.00, 0.01
Uright, uright04, Realizable, 0, 0.00, 0.01
Uright, uright05, Realizable, 0, 0.00, 0.01
Uright, uright06, Realizable, 0, 0.00, 0.01
Uright, uright07, Realizable, 0, 0.00, 0.01
Uright, uright08, Realizable, 0, 0.00, 0.01
Uright, uright09, Realizable, 0, 0.00, 0.01
Uright, uright10, Realizable, 0, 0.00, 0.01
Uright, uright11, Realizable, 0, 0.00, 0.01
Uright, uright12, Realizable, 0, 0.00, 0.01
Uright, uright13, Realizable, 0, 0.00, 0.01
Uright, uright14, Realizable, 0, 0.00, 0.01
Uright, uright15, Realizable, 0, 0.00, 0.01
Uright, uright16, Realizable, 0, 0.00, 0.01
Uright, uright17, Realizable, 0, 0.00, 0.02
Uright, uright18, Realizable, 0, 0.00, 0.02
Uright, uright19, Realizable, 0, 0.00, 0.03
Uright, uright20, Realizable, 0, 0.00, 0.05
syft_1, 001, Realizable, 0, 0.00, 0.01
syft_1, 002, Realizable, 0, 0.00, 0.01
syft_1, 003, Unrealizable, 0, 0.00, 0.01
syft_1, 004, Realizable, 0, 0.00, 0.01
syft_1, 005, Unrealizable, 0, 0.01, 0.02
syft_1, 006, Realizable, 0, 0.00, 0.01
syft_1, 007, Realizable, 0, 0.00, 0.01
syft_1, 008, Realizable, 0, 0.00, 0.01
syft_1, 009, Realizable, 0, 0.00, 0.01
syft_1, 010, Realizable, 0, 0.00, 0.01
syft_1, 011, Unrealizable, 0, 0.00, 0.01
syft_1, 012, Realizable, 0, 0.00, 0.01
syft_1, 013, Realizable, 0, 0.00, 0.01
syft_1, 014, Unrealizable, 0, 0.01, 0.01
syft_1, 015, Unrealizable, 0, 0.01, 0.01
syft_1, 016, Unrealizable, 0, 0.07, 0.01
syft_1, 017, Unrealizable, 0, 0.00, 0.01
syft_1, 018, Unrealizable, 0, 0.00, 0.01
syft_1, 019, Realizable, 0, 0.00, 0.01
syft_1, 020, Unrealizable, 0, 0.00, 0.01
syft_1, 021, Realizable, 0, 0.00, 0.01
syft_1, 022, Realizable, 0, 0.00, 0.01
syft_1, 023, Unrealizable, 0, 0.00, 0.01
syft_1, 024, Unrealizable, 0, 0.00, 0.01
syft_1, 025, Unrealizable, 0, 0.08, 0.02
syft_1, 026, Realizable, 0, 0.00, 0.01
syft_1, 027, Unrealizable, 0, 0.03, 0.02
