Folder, Filename, Result, ExitCode, minimizeTime, lydiaPreprocessTime, Time, Memory, lastSearchedDfaSz
syft_1, 039, Unrealizable, 0, 0.000, 0.047, 1.355, 0.284, 259
syft_1, 040, Realizable, 0, 0.000, 0.027, 0.037, 0.256, 0
syft_1, 041, Unrealizable, 0, 0.000, 0.310, 0.935, 0.281, 133
syft_1, 042, Realizable, 0, 0.000, 0.024, 0.033, 0.256, 0
syft_1, 043, Unrealizable, 0, 0.000, 0.074, 0.566, 0.272, 131
syft_1, 044, Realizable, 0, 0.000, 0.028, 0.047, 0.259, 0
syft_1, 045, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
syft_1, 046, Realizable, 0, 0.000, 0.027, 0.040, 0.257, 0
syft_1, 047, Realizable, 0, 0.000, 0.024, 0.033, 0.256, 0
syft_1, 048, Realizable, 0, 0.000, 0.026, 0.037, 0.256, 0
syft_1, 049, Unrealizable, 0, 0.000, 0.078, 0.204, 0.261, 69
syft_1, 050, Realizable, 0, 0.000, 0.028, 0.041, 0.257, 0
syft_1, 051, Realizable, 0, 0.000, 0.025, 0.035, 0.256, 0
syft_1, 052, Realizable, 0, 0.000, 0.023, 0.032, 0.256, 0
syft_1, 053, Realizable, 0, 0.000, 0.023, 0.033, 0.256, 0
syft_1, 054, Unrealizable, 0, 0.000, 0.079, 0.204, 0.261, 69
syft_1, 055, Unrealizable, 0, 0.000, 0.047, 0.324, 0.262, 131
syft_1, 056, Unrealizable, 0, 0.000, 0.071, 0.103, 0.256, 36
syft_1, 057, Unrealizable, 0, 0.000, 0.076, 2.960, 0.321, 259
syft_1, 058, Unrealizable, 0, 0.000, 0.074, 0.190, 0.261, 67
syft_1, 059, Realizable, 0, 0.000, 0.027, 0.037, 0.256, 0
syft_1, 060, Realizable, 0, 0.000, 0.026, 0.036, 0.256, 0
syft_1, 061, Realizable, 0, 0.000, 0.025, 0.043, 0.259, 0
syft_1, 062, Unrealizable, 0, 0.000, 0.039, 5.985, 0.374, 515
syft_1, 063, Unrealizable, 0, 0.000, 0.036, 0.058, 0.256, 35
syft_1, 064, Realizable, 0, 0.000, 0.023, 0.035, 0.257, 0
syft_1, 065, Unrealizable, 0, 0.000, 0.343, 17.026, 0.695, 517
syft_1, 066, Realizable, 0, 0.000, 0.020, 0.029, 0.257, 0
syft_1, 067, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
syft_1, 068, Unrealizable, 0, 0.000, 0.053, 1.888, 0.303, 260
syft_1, 069, Realizable, 0, 0.000, 0.020, 0.027, 0.256, 0
syft_1, 070, Realizable, 0, 0.000, 0.019, 0.026, 0.256, 0
syft_1, 071, Realizable, 0, 0.000, 0.021, 0.036, 0.259, 0
syft_1, 072, Unrealizable, 0, 0.000, 0.038, 5.882, 0.374, 515
syft_1, 073, Unrealizable, 0, 0.000, 0.033, 1.284, 0.284, 259
syft_1, 074, Realizable, 0, 0.000, 0.017, 0.024, 0.256, 0
syft_1, 075, Unrealizable, 0, 0.000, 0.053, 0.172, 0.261, 69
syft_1, 076, Realizable, 0, 0.000, 0.024, 0.042, 0.259, 0
syft_1, 077, Unrealizable, 0, 0.000, 0.036, 0.058, 0.256, 35
syft_1, 078, Unrealizable, 0, 0.000, 0.054, 13.516, 0.553, 515
syft_1, 079, Realizable, 0, 0.000, 0.024, 0.037, 0.257, 0
syft_1, 080, Unrealizable, 0, 0.000, 0.037, 0.101, 0.256, 67
syft_1, 081, Realizable, 0, 0.000, 0.024, 0.032, 0.256, 0
syft_1, 082, Unrealizable, 0, 0.000, 0.080, 2.926, 0.321, 259
syft_1, 083, Realizable, 0, 0.000, 0.023, 0.033, 0.256, 0
syft_1, 084, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
syft_1, 085, Realizable, 0, 0.000, 0.028, 0.047, 0.259, 0
syft_1, 086, Realizable, 0, 0.000, 0.028, 0.041, 0.258, 0
syft_1, 087, Unrealizable, 0, 0.000, 0.047, 6.280, 0.374, 515
syft_1, 088, Realizable, 0, 0.000, 0.028, 0.041, 0.258, 0
syft_1, 089, Unrealizable, 0, 0.000, 0.047, 1.354, 0.284, 259
syft_1, 090, Unrealizable, 0, 0.000, 0.078, 0.111, 0.257, 37
syft_1, 091, Unrealizable, 0, 0.000, 0.075, 0.566, 0.272, 131
syft_1, 092, Unrealizable, 0, 0.000, 0.047, 0.114, 0.256, 67
syft_1, 093, Realizable, 0, 0.000, 0.030, 0.049, 0.259, 0
syft_1, 094, Realizable, 0, 0.000, 0.028, 0.041, 0.257, 0
syft_1, 095, Realizable, 0, 0.000, 0.022, 0.032, 0.256, 0
syft_1, 096, Unrealizable, 0, 0.000, 0.046, 1.357, 0.284, 259
