Folder, Filename, Result, ExitCode, Time, Memory, subAfSz
syft_1, 068, Stopped, 0, 0.00, 0.04, 1
syft_1, 069, Realizable, 0, 0.00, 0.04, 1
syft_1, 070, Realizable, 0, 0.00, 0.04, 1
syft_1, 071, Realizable, 0, 0.00, 0.04, 1
syft_1, 072, Stopped, 0, 0.00, 0.04, 1
syft_1, 073, Stopped, 0, 0.00, 0.04, 1
syft_1, 074, Realizable, 0, 0.00, 0.04, 1
syft_1, 075, Stopped, 0, 0.00, 0.05, 1
syft_1, 076, Realizable, 0, 0.00, 0.04, 1
syft_1, 077, Stopped, 0, 0.00, 0.04, 1
syft_1, 078, Stopped, 0, 0.00, 0.04, 1
syft_1, 079, Realizable, 0, 0.00, 0.04, 1
syft_1, 080, Stopped, 0, 0.00, 0.04, 1
syft_1, 081, Realizable, 0, 0.00, 0.04, 1
syft_1, 082, Stopped, 0, 0.00, 0.04, 1
syft_1, 083, Realizable, 0, 0.00, 0.04, 1
syft_1, 084, Realizable, 0, 0.00, 0.04, 1
syft_1, 085, Realizable, 0, 0.00, 0.04, 1
syft_1, 086, Realizable, 0, 0.00, 0.04, 1
syft_1, 087, Stopped, 0, 0.00, 0.04, 1
syft_1, 088, Realizable, 0, 0.00, 0.04, 1
syft_1, 089, Stopped, 0, 0.00, 0.04, 1
syft_1, 090, Stopped, 0, 0.00, 0.05, 1
syft_1, 091, Stopped, 0, 0.00, 0.04, 1
syft_1, 092, Stopped, 0, 0.00, 0.04, 1
syft_1, 093, Realizable, 0, 0.00, 0.04, 1
syft_1, 094, Realizable, 0, 0.00, 0.04, 1
syft_1, 095, Realizable, 0, 0.00, 0.04, 1
syft_1, 096, Stopped, 0, 0.00, 0.04, 1
syft_1, 097, Stopped, 0, 0.00, 0.04, 1
syft_1, 098, Realizable, 0, 0.00, 0.04, 1
syft_1, 099, Realizable, 0, 0.00, 0.04, 1
syft_1, 100, Stopped, 0, 0.00, 0.04, 1
syft_1, 101, Realizable, 0, 0.00, 0.04, 1
syft_1, 102, Realizable, 0, 0.00, 0.04, 1
syft_1, 103, Stopped, 0, 0.00, 0.05, 1
syft_1, 104, Stopped, 0, 0.00, 0.04, 1
syft_1, 105, Realizable, 0, 0.00, 0.04, 1
syft_1, 106, Stopped, 0, 0.00, 0.04, 1
syft_1, 107, Stopped, 0, 0.00, 0.05, 1
syft_1, 108, Realizable, 0, 0.00, 0.04, 1
syft_1, 109, Realizable, 0, 0.00, 0.04, 1
syft_1, 110, Realizable, 0, 0.00, 0.04, 1
syft_1, 111, Realizable, 0, 0.00, 0.04, 1
syft_1, 112, Stopped, 0, 0.00, 0.04, 1
syft_1, 113, Stopped, 0, 0.00, 0.04, 1
syft_1, 114, Realizable, 0, 0.00, 0.04, 1
syft_1, 115, Realizable, 0, 0.00, 0.04, 1
syft_1, 116, Realizable, 0, 0.00, 0.04, 1
syft_1, 117, Stopped, 0, 0.00, 0.05, 1
syft_1, 118, Realizable, 0, 0.00, 0.04, 1
syft_1, 119, Realizable, 0, 0.00, 0.04, 1
syft_1, 120, Stopped, 0, 0.00, 0.05, 1
syft_1, 121, Stopped, 0, 0.00, 0.04, 1
syft_1, 122, Stopped, 0, 0.00, 0.04, 1
syft_1, 123, Stopped, 0, 0.00, 0.04, 1
syft_1, 124, Stopped, 0, 0.00, 0.04, 1
syft_1, 125, Stopped, 0, 0.00, 0.04, 1
syft_1, 126, Realizable, 0, 0.00, 0.04, 1
syft_1, 127, Stopped, 0, 0.00, 0.04, 1
syft_1, 128, Realizable, 0, 0.00, 0.04, 1
syft_1, 129, Stopped, 0, 0.00, 0.04, 1
syft_1, 130, Realizable, 0, 0.00, 0.04, 1
syft_1, 131, Realizable, 0, 0.00, 0.04, 1
syft_1, 132, Realizable, 0, 0.00, 0.04, 1
syft_1, 133, Stopped, 0, 0.00, 0.04, 1
syft_1, 134, Realizable, 0, 0.00, 0.04, 1
syft_1, 135, Realizable, 0, 0.00, 0.04, 1
syft_1, 136, Stopped, 0, 0.00, 0.05, 1
syft_1, 137, Stopped, 0, 0.00, 0.04, 1
syft_1, 138, Realizable, 0, 0.00, 0.04, 1
syft_1, 139, Stopped, 0, 0.00, 0.04, 1
syft_1, 140, Stopped, 0, 0.00, 0.04, 1
syft_1, 141, Stopped, 0, 0.00, 0.04, 1
syft_1, 142, Realizable, 0, 0.00, 0.04, 1
syft_1, 143, Stopped, 0, 0.00, 0.04, 1
syft_1, 144, Realizable, 0, 0.00, 0.04, 1
syft_1, 145, Realizable, 0, 0.00, 0.04, 1
syft_1, 146, Stopped, 0, 0.00, 0.04, 1
syft_1, 147, Realizable, 0, 0.00, 0.04, 1
syft_1, 148, Stopped, 0, 0.00, 0.05, 1
syft_1, 149, Realizable, 0, 0.00, 0.04, 1
syft_1, 150, Stopped, 0, 0.00, 0.04, 1
syft_1, 151, Stopped, 0, 0.00, 0.04, 1
syft_1, 152, Stopped, 0, 0.00, 0.04, 1
syft_1, 153, Stopped, 0, 0.00, 0.04, 1
syft_1, 154, Stopped, 0, 0.00, 0.04, 1
syft_1, 155, Stopped, 0, 0.00, 0.04, 1
